"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.72948859854072e-05,5.91879914844931,0.25,0.013,0.374322066403874,"CMP","RP11-390E23.6"
2.73332294429274e-05,2.73424945692478,0.5,0.046,0.374847908580306,"CMP","TM7SF3"
3.02293154583744e-05,4.84676989824678,0.25,0.013,0.414564832196146,"CMP","EDEM3"
3.14234605358621e-05,4.0194013352902,0.25,0.013,0.430941337788813,"CMP","CLEC16A"
3.18896449871264e-05,3.80482073682457,0.25,0.013,0.437334591353452,"CMP","TEX10"
3.28417997290664e-05,3.44129936796667,0.25,0.013,0.450392441484417,"CMP","ASB7"
3.31817283503177e-05,1.96331515890493,1,0.155,0.455054222596257,"CMP","ZNF428"
3.33279452251478e-05,3.59246133910336,0.25,0.013,0.457059440817677,"CMP","FPGT"
3.33279452251478e-05,3.81053560119502,0.25,0.013,0.457059440817677,"CMP","FANCL"
3.33279452251478e-05,3.57090385153007,0.25,0.013,0.457059440817677,"CMP","PHF7"
3.33279452251478e-05,3.72806190688358,0.25,0.013,0.457059440817677,"CMP","JMY"
3.33279452251478e-05,3.42496554457352,0.25,0.013,0.457059440817677,"CMP","YAE1D1"
3.33279452251478e-05,3.64033347936264,0.25,0.013,0.457059440817677,"CMP","BMF"
3.68300913045072e-05,2.14386327211379,0.75,0.091,0.505087872150012,"CMP","IFNGR1"
3.75044553868609e-05,5.0347316410451,0.25,0.013,0.51433610117541,"CMP","TBC1D2"
3.75084381534219e-05,2.70393236449067,0.5,0.049,0.514390720836027,"CMP","MRPL42"
4.15288135742209e-05,4.06571448444744,0.25,0.013,0.569526149356865,"CMP","TTLL12"
4.17158221710512e-05,2.75519861765375,0.5,0.046,0.572090785253796,"CMP","VTA1"
4.21050652039678e-05,2.52813438140912,0.5,0.046,0.577428864207215,"CMP","MED17"
4.30965590521026e-05,2.50663390421956,0.5,0.046,0.591026210840536,"CMP","MED16"
